"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,15872,"; _Z52batched_matrix_multiplication_matrix_core_128x128x16ILj128ELj128ELj16EEvjjjjPKDF16bS1_PDF16b4dim3S3_S3_i",0,0,0,0,"void batched_matrix_multiplication_matrix_core_128x128x16<128u, 128u, 16u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3, int)"
2,15872,"s_load_dwordx4 s[16:19], s[0:1], 0x10",4,16,0,2972,""
2,15880,"s_load_dwordx8 s[8:15], s[0:1], 0x28",4,16,0,0,""
2,15888,"s_lshl_b32 s5, s3, 7",4,16,0,0,""
2,15892,"v_lshrrev_b32_e32 v40, 7, v0",4,16,0,0,""
2,15896,"v_and_b32_e32 v2, 63, v0",4,16,0,0,""
2,15900,"v_bfe_u32 v1, v0, 6, 1",4,16,0,0,""
2,15908,"s_waitcnt lgkmcnt(0)",4,1720,1720,0,""
2,15912,"s_mul_i32 s3, s8, s4",4,16,0,0,""
2,15916,"s_mul_i32 s6, s9, s5",4,16,0,0,""
2,15920,"s_add_i32 s6, s6, s3",4,16,0,0,""
2,15924,"s_mov_b32 s7, 0",4,16,0,0,""
2,15928,"v_lshl_or_b32 v41, v40, 6, v2",4,16,0,0,""
2,15936,"s_lshl_b64 s[20:21], s[6:7], 1",4,16,0,0,""
2,15940,"v_mul_lo_u32 v2, s9, v41",4,16,0,0,""
2,15948,"v_lshlrev_b32_e32 v42, 3, v1",4,16,0,0,""
2,15952,"s_add_u32 s26, s16, s20",4,16,0,0,""
2,15956,"v_mad_u64_u32 v[14:15], s[8:9], s10, v42, v[2:3]",4,16,0,0,""
2,15964,"v_lshlrev_b32_e32 v44, 3, v40",4,16,0,0,""
2,15968,"s_addc_u32 s27, s17, s21",4,16,0,48,""
2,15972,"v_and_b32_e32 v43, 0x7f, v0",4,16,0,0,""
2,15980,"v_mul_lo_u32 v2, s12, v44",4,16,0,0,""
2,15988,"v_mov_b32_e32 v15, 0",4,16,0,0,""
2,15992,"v_mad_u64_u32 v[2:3], s[8:9], s13, v43, v[2:3]",4,16,0,0,""
2,16000,"v_lshl_add_u64 v[4:5], v[14:15], 1, s[26:27]",4,16,0,0,""
2,16008,"s_lshl_b32 s24, s2, 7",4,16,0,48,""
2,16012,"global_load_dwordx4 v[20:23], v[4:5], off",4,36,20,16,""
2,16020,"v_add_u32_e32 v4, s12, v2",4,16,0,0,""
2,16024,"s_mul_i32 s3, s11, s4",4,16,0,0,""
2,16028,"s_mul_i32 s2, s13, s24",4,16,0,0,""
2,16032,"v_add_u32_e32 v6, s12, v4",4,16,0,0,""
2,16036,"s_add_i32 s6, s2, s3",4,16,0,0,""
2,16040,"v_add_u32_e32 v8, s12, v6",4,16,0,0,""
2,16044,"s_lshl_b64 s[22:23], s[6:7], 1",4,16,0,0,""
2,16048,"v_add_u32_e32 v10, s12, v8",4,16,0,0,""
2,16052,"s_add_u32 s2, s18, s22",4,16,0,0,""
2,16056,"v_add_u32_e32 v12, s12, v10",4,16,0,0,""
2,16060,"s_addc_u32 s3, s19, s23",4,16,0,0,""
2,16064,"v_mov_b32_e32 v3, v15",4,16,0,0,""
2,16068,"v_add_u32_e32 v16, s12, v12",4,16,0,0,""
2,16072,"v_lshl_add_u64 v[24:25], v[2:3], 1, s[2:3]",4,16,0,0,""
2,16080,"v_mov_b32_e32 v5, v15",4,16,0,0,""
2,16084,"v_mov_b32_e32 v7, v15",4,16,0,0,""
2,16088,"v_mov_b32_e32 v9, v15",4,16,0,0,""
2,16092,"v_mov_b32_e32 v11, v15",4,16,0,0,""
2,16096,"v_mov_b32_e32 v13, v15",4,16,0,0,""
2,16100,"v_mov_b32_e32 v17, v15",4,16,0,0,""
2,16104,"v_add_u32_e32 v18, s12, v16",4,16,0,0,""
2,16108,"v_mov_b32_e32 v19, v15",4,16,0,0,""
2,16112,"v_lshl_add_u64 v[26:27], v[4:5], 1, s[2:3]",4,16,0,0,""
2,16120,"v_lshl_add_u64 v[28:29], v[6:7], 1, s[2:3]",4,16,0,0,""
2,16128,"v_lshl_add_u64 v[30:31], v[8:9], 1, s[2:3]",4,16,0,0,""
2,16136,"v_lshl_add_u64 v[32:33], v[10:11], 1, s[2:3]",4,16,0,0,""
2,16144,"v_lshl_add_u64 v[34:35], v[12:13], 1, s[2:3]",4,16,0,0,""
2,16152,"v_lshl_add_u64 v[36:37], v[16:17], 1, s[2:3]",4,16,0,0,""
2,16160,"v_lshl_add_u64 v[38:39], v[18:19], 1, s[2:3]",4,16,0,0,""
2,16168,"global_load_ushort v45, v[24:25], off",4,1304,1288,32,""
2,16176,"global_load_ushort v46, v[26:27], off",4,20,4,0,""
2,16184,"global_load_ushort v47, v[28:29], off",4,20,4,0,""
2,16192,"global_load_ushort v48, v[30:31], off",4,24,4,0,""
2,16200,"global_load_ushort v49, v[32:33], off",4,36,16,0,""
2,16208,"global_load_ushort v50, v[34:35], off",4,44,24,0,""
2,16216,"global_load_ushort v51, v[36:37], off",4,20,0,0,""
2,16224,"global_load_ushort v52, v[38:39], off",4,1796,1780,0,""
2,16232,"s_load_dwordx2 s[2:3], s[0:1], 0x4",4,16,0,0,""
2,16240,"s_load_dwordx2 s[8:9], s[0:1], 0x20",4,16,0,0,""
2,16248,"s_load_dword s13, s[0:1], 0x48",4,16,0,0,""
2,16256,"v_and_b32_e32 v24, 31, v0",4,16,0,0,""
2,16260,"v_lshrrev_b32_e32 v0, 3, v0",4,16,0,0,""
2,16264,"v_lshlrev_b32_e32 v65, 5, v40",4,16,0,0,""
2,16268,"v_lshl_or_b32 v87, v41, 4, v42",4,16,0,0,""
2,16276,"s_mov_b32 s25, 0x5040100",4,16,0,0,""
2,16284,"v_and_b32_e32 v84, 4, v0",4,16,0,0,""
2,16288,"v_lshl_or_b32 v64, v1, 5, v24",4,16,0,0,""
2,16296,"v_lshl_add_u32 v88, v43, 4, v44",4,16,0,0,""
2,16304,"v_or_b32_e32 v0, v65, v24",4,16,0,0,""
2,16308,"v_lshlrev_b32_e32 v1, 1, v87",4,16,0,0,""
2,16312,"v_lshl_or_b32 v85, v64, 4, v84",4,16,0,0,""
2,16320,"v_lshl_or_b32 v86, v0, 4, v84",4,16,0,0,""
2,16328,"v_lshlrev_b32_e32 v0, 1, v88",4,16,0,0,""
2,16332,"s_waitcnt lgkmcnt(0)",4,16,16,0,""
2,16336,"s_cmp_lt_u32 s3, 17",4,16,0,0,""
2,16340,"s_waitcnt vmcnt(8)",4,4488,4488,0,""
2,16344,"ds_write_b128 v1, v[20:23]",4,80,0,0,""
2,16352,"s_waitcnt vmcnt(6)",4,4088,4088,0,""
2,16356,"v_perm_b32 v20, v46, v45, s25",4,16,0,0,""
2,16364,"s_waitcnt vmcnt(4)",4,596,596,0,""
2,16368,"v_perm_b32 v21, v48, v47, s25",4,16,0,0,""
2,16376,"s_waitcnt vmcnt(2)",4,16,16,0,""
2,16380,"v_perm_b32 v22, v50, v49, s25",4,16,0,0,""
2,16388,"s_waitcnt vmcnt(0)",4,112,112,0,""
2,16392,"v_perm_b32 v23, v52, v51, s25",4,16,0,0,""
2,16400,"ds_write_b128 v0, v[20:23] offset:8192",4,96,16,32,""
2,16408,"s_waitcnt lgkmcnt(0)",4,240,240,0,""
2,16412,"s_barrier",4,176,176,0,""
2,16416,"s_cbranch_scc1 194",4,16,0,0,""
2,16420,"s_lshl_b32 s6, s12, 4",4,16,0,0,""
2,16424,"s_lshl_b64 s[0:1], s[6:7], 1",4,16,0,0,""
2,16428,"s_add_u32 s6, s0, s22",4,16,0,0,""
2,16432,"s_addc_u32 s11, s1, s23",4,16,0,0,""
2,16436,"s_add_u32 s10, s18, s6",4,16,0,0,""
2,16440,"s_addc_u32 s11, s19, s11",4,16,0,0,""
2,16444,"s_add_u32 s16, s16, s20",4,16,0,0,""
2,16448,"s_addc_u32 s17, s17, s21",4,16,0,0,""
2,16452,"v_lshl_add_u64 v[0:1], v[14:15], 1, s[16:17]",4,16,0,0,""
2,16460,"v_lshl_add_u64 v[82:83], v[0:1], 0, 32",4,16,0,0,""
2,16468,"v_mov_b32_e32 v0, 0",4,16,0,0,""
2,16472,"v_lshlrev_b64 v[66:67], 1, v[18:19]",4,16,0,0,""
2,16480,"v_lshlrev_b64 v[68:69], 1, v[16:17]",4,16,0,0,""
2,16488,"v_lshlrev_b64 v[70:71], 1, v[12:13]",4,16,0,0,""
2,16496,"v_lshlrev_b64 v[72:73], 1, v[10:11]",4,16,0,0,""
2,16504,"v_lshlrev_b64 v[74:75], 1, v[8:9]",4,16,0,0,""
2,16512,"v_lshlrev_b64 v[76:77], 1, v[6:7]",4,16,0,0,""
2,16520,"v_lshlrev_b64 v[78:79], 1, v[4:5]",4,16,0,0,""
2,16528,"v_lshlrev_b64 v[80:81], 1, v[2:3]",4,16,0,0,""
2,16536,"s_mov_b32 s6, 16",4,16,0,0,""
2,16540,"v_mov_b32_e32 v1, v0",4,16,0,0,""
2,16544,"v_mov_b32_e32 v2, v0",4,16,0,0,""
2,16548,"v_mov_b32_e32 v3, v0",4,16,0,0,""
2,16552,"v_mov_b32_e32 v4, v0",4,16,0,0,""
2,16556,"v_mov_b32_e32 v5, v0",4,16,0,0,""
2,16560,"v_mov_b32_e32 v6, v0",4,16,0,0,""
2,16564,"v_mov_b32_e32 v7, v0",4,16,0,0,""
2,16568,"v_mov_b32_e32 v8, v0",4,16,0,0,""
2,16572,"v_mov_b32_e32 v9, v0",4,16,0,0,""
2,16576,"v_mov_b32_e32 v10, v0",4,16,0,0,""
2,16580,"v_mov_b32_e32 v11, v0",4,16,0,0,""
2,16584,"v_mov_b32_e32 v12, v0",4,16,0,0,""
2,16588,"v_mov_b32_e32 v13, v0",4,16,0,0,""
2,16592,"v_mov_b32_e32 v14, v0",4,16,0,0,""
2,16596,"v_mov_b32_e32 v15, v0",4,16,0,0,""
2,16600,"v_mov_b32_e32 v16, v0",4,16,0,0,""
2,16604,"v_mov_b32_e32 v17, v0",4,16,0,0,""
2,16608,"v_mov_b32_e32 v18, v0",4,16,0,0,""
2,16612,"v_mov_b32_e32 v19, v0",4,16,0,0,""
2,16616,"v_mov_b32_e32 v20, v0",4,16,0,0,""
2,16620,"v_mov_b32_e32 v21, v0",4,16,0,0,""
2,16624,"v_mov_b32_e32 v22, v0",4,16,0,0,""
2,16628,"v_mov_b32_e32 v23, v0",4,16,0,0,""
2,16632,"v_mov_b32_e32 v24, v0",4,16,0,0,""
2,16636,"v_mov_b32_e32 v25, v0",4,16,0,0,""
2,16640,"v_mov_b32_e32 v26, v0",4,16,0,0,""
2,16644,"v_mov_b32_e32 v27, v0",4,16,0,0,""
2,16648,"v_mov_b32_e32 v28, v0",4,16,0,0,""
2,16652,"v_mov_b32_e32 v29, v0",4,16,0,0,""
2,16656,"v_mov_b32_e32 v30, v0",4,16,0,0,""
2,16660,"v_mov_b32_e32 v31, v0",4,16,0,0,""
2,16664,"v_mov_b32_e32 v32, v0",4,16,0,0,""
2,16668,"v_mov_b32_e32 v33, v0",4,16,0,0,""
2,16672,"v_mov_b32_e32 v34, v0",4,16,0,0,""
2,16676,"v_mov_b32_e32 v35, v0",4,16,0,0,""
2,16680,"v_mov_b32_e32 v36, v0",4,16,0,0,""
2,16684,"v_mov_b32_e32 v37, v0",4,16,0,0,""
2,16688,"v_mov_b32_e32 v38, v0",4,16,0,0,""
2,16692,"v_mov_b32_e32 v39, v0",4,16,0,0,""
2,16696,"v_mov_b32_e32 v40, v0",4,16,0,0,""
2,16700,"v_mov_b32_e32 v41, v0",4,16,0,0,""
2,16704,"v_mov_b32_e32 v42, v0",4,16,0,0,""
2,16708,"v_mov_b32_e32 v43, v0",4,16,0,0,""
2,16712,"v_mov_b32_e32 v44, v0",4,16,0,0,""
2,16716,"v_mov_b32_e32 v45, v0",4,16,0,0,""
2,16720,"v_mov_b32_e32 v46, v0",4,16,0,0,""
2,16724,"v_mov_b32_e32 v47, v0",4,16,0,0,""
2,16728,"v_mov_b32_e32 v48, v0",4,16,0,0,""
2,16732,"v_mov_b32_e32 v49, v0",4,16,0,0,""
2,16736,"v_mov_b32_e32 v50, v0",4,16,0,0,""
2,16740,"v_mov_b32_e32 v51, v0",4,16,0,0,""
2,16744,"v_mov_b32_e32 v52, v0",4,16,0,0,""
2,16748,"v_mov_b32_e32 v53, v0",4,16,0,0,""
2,16752,"v_mov_b32_e32 v54, v0",4,16,0,0,""
2,16756,"v_mov_b32_e32 v55, v0",4,16,0,0,""
2,16760,"v_mov_b32_e32 v56, v0",4,16,0,0,""
2,16764,"v_mov_b32_e32 v57, v0",4,16,0,0,""
2,16768,"v_mov_b32_e32 v58, v0",4,16,0,0,""
2,16772,"v_mov_b32_e32 v59, v0",4,16,0,0,""
2,16776,"v_mov_b32_e32 v60, v0",4,16,0,0,""
2,16780,"v_mov_b32_e32 v61, v0",4,16,0,0,""
2,16784,"v_mov_b32_e32 v62, v0",4,16,0,0,""
2,16788,"v_mov_b32_e32 v63, v0",4,16,0,0,""
2,16792,"v_lshl_add_u64 v[94:95], s[10:11], 0, v[80:81]",28,112,0,384,""
2,16800,"global_load_dwordx4 v[90:93], v[82:83], off",28,420,308,320,""
2,16808,"v_lshl_add_u64 v[96:97], s[10:11], 0, v[78:79]",28,112,0,0,""
2,16816,"v_lshl_add_u64 v[98:99], s[10:11], 0, v[76:77]",28,112,0,0,""
2,16824,"v_lshl_add_u64 v[100:101], s[10:11], 0, v[74:75]",28,112,0,0,""
2,16832,"v_lshl_add_u64 v[102:103], s[10:11], 0, v[72:73]",28,112,0,0,""
2,16840,"v_lshl_add_u64 v[104:105], s[10:11], 0, v[70:71]",28,112,0,0,""
2,16848,"v_lshl_add_u64 v[106:107], s[10:11], 0, v[68:69]",28,112,0,0,""
2,16856,"v_lshl_add_u64 v[108:109], s[10:11], 0, v[66:67]",28,112,0,0,""
2,16864,"global_load_ushort v89, v[94:95], off",28,2212,2100,224,""
2,16872,"global_load_ushort v110, v[96:97], off",28,140,28,0,""
2,16880,"global_load_ushort v111, v[98:99], off",28,140,0,0,""
2,16888,"global_load_ushort v112, v[100:101], off",28,252,112,0,""
2,16896,"global_load_ushort v113, v[102:103], off",28,308,168,0,""
2,16904,"global_load_ushort v114, v[104:105], off",28,140,0,0,""
2,16912,"global_load_ushort v115, v[106:107], off",28,1144,1004,0,""
2,16920,"global_load_ushort v116, v[108:109], off",28,112,0,0,""
2,16928,"s_lshl_b32 s12, s7, 12",28,112,0,0,""
2,16932,"v_lshl_add_u32 v102, v86, 1, s12",28,112,0,0,""
2,16940,"v_add_u32_e32 v106, 0x800, v102",28,140,0,0,""
2,16948,"ds_read2_b64 v[94:97], v102 offset1:2",28,112,0,196,""
2,16956,"ds_read2_b64 v[106:109], v106 offset1:2",28,112,0,0,""
2,16964,"v_lshl_or_b32 v103, v85, 1, s12",28,112,0,0,""
2,16972,"v_add_u32_e32 v98, 0x2000, v103",28,112,0,0,""
2,16980,"v_add_u32_e32 v102, 0x2800, v103",28,112,0,0,""
2,16988,"ds_read2_b64 v[98:101], v98 offset1:2",28,112,0,224,""
2,16996,"ds_read2_b64 v[102:105], v102 offset1:2",28,112,0,0,""
2,17004,"s_xor_b32 s7, s7, 1",28,112,0,0,""
2,17008,"s_waitcnt lgkmcnt(1)",28,5608,5608,0,""
2,17012,"v_mfma_f32_32x32x8_bf16 v[48:63], v[94:95], v[98:99], v[48:63]",28,112,0,0,""
2,17020,"s_waitcnt lgkmcnt(0)",28,1280,1280,0,""
2,17024,"v_mfma_f32_32x32x8_bf16 v[32:47], v[94:95], v[102:103], v[32:47]",28,112,0,0,""
2,17032,"s_waitcnt vmcnt(4)",28,22176,22176,0,""
2,17036,"v_perm_b32 v95, v112, v111, s25",28,112,0,0,""
2,17044,"v_perm_b32 v94, v110, v89, s25",28,112,0,0,""
2,17052,"v_mfma_f32_32x32x8_bf16 v[16:31], v[106:107], v[98:99], v[16:31]",28,112,0,0,""
2,17060,"v_mfma_f32_32x32x8_bf16 v[0:15], v[106:107], v[102:103], v[0:15]",28,896,784,0,""
2,17068,"v_mfma_f32_32x32x8_bf16 v[48:63], v[96:97], v[100:101], v[48:63]",28,896,784,0,""
2,17076,"v_mfma_f32_32x32x8_bf16 v[32:47], v[96:97], v[104:105], v[32:47]",28,896,784,0,""
2,17084,"s_waitcnt vmcnt(0)",28,836,836,0,""
2,17088,"v_perm_b32 v97, v116, v115, s25",28,112,0,0,""
2,17096,"v_perm_b32 v96, v114, v113, s25",28,112,0,0,""
2,17104,"v_mfma_f32_32x32x8_bf16 v[16:31], v[108:109], v[100:101], v[16:31]",28,492,380,0,""
2,17112,"v_mfma_f32_32x32x8_bf16 v[0:15], v[108:109], v[104:105], v[0:15]",28,896,784,0,""
2,17120,"s_lshl_b32 s12, s7, 12",28,112,0,0,""
2,17124,"s_add_i32 s6, s6, 16",28,112,0,0,""
2,17128,"s_add_u32 s10, s10, s0",28,112,0,0,""
2,17132,"v_lshl_add_u32 v89, v87, 1, s12",28,112,0,0,""
2,17140,"s_addc_u32 s11, s11, s1",28,112,0,0,""
2,17144,"ds_write_b128 v89, v[90:93]",28,560,0,112,""
2,17152,"v_lshl_add_u32 v89, v88, 1, s12",28,112,0,0,""
2,17160,"s_cmp_ge_u32 s6, s3",28,112,0,0,""
2,17164,"v_lshl_add_u64 v[82:83], v[82:83], 0, 32",28,112,0,0,""
2,17172,"ds_write_b128 v89, v[94:97] offset:8192",28,656,96,224,""
2,17180,"s_waitcnt lgkmcnt(0)",28,1708,1708,0,""
2,17184,"s_barrier",28,4696,4696,0,""
2,17188,"s_cbranch_scc0 65436",28,112,0,0,""
2,17192,"s_branch 63",4,16,0,0,""
2,17196,"v_mov_b32_e32 v14, v15",0,0,0,0,""
2,17200,"v_mov_b32_e32 v13, v15",0,0,0,0,""
2,17204,"v_mov_b32_e32 v12, v15",0,0,0,0,""
2,17208,"v_mov_b32_e32 v11, v15",0,0,0,0,""
2,17212,"v_mov_b32_e32 v10, v15",0,0,0,0,""
2,17216,"v_mov_b32_e32 v9, v15",0,0,0,0,""
2,17220,"v_mov_b32_e32 v8, v15",0,0,0,0,""
2,17224,"v_mov_b32_e32 v7, v15",0,0,0,0,""
2,17228,"v_mov_b32_e32 v6, v15",0,0,0,0,""
2,17232,"v_mov_b32_e32 v5, v15",0,0,0,0,""
2,17236,"v_mov_b32_e32 v4, v15",0,0,0,0,""
2,17240,"v_mov_b32_e32 v3, v15",0,0,0,0,""
2,17244,"v_mov_b32_e32 v2, v15",0,0,0,0,""
2,17248,"v_mov_b32_e32 v1, v15",0,0,0,0,""
2,17252,"v_mov_b32_e32 v0, v15",0,0,0,0,""
2,17256,"v_mov_b32_e32 v31, v15",0,0,0,0,""
2,17260,"v_mov_b32_e32 v30, v15",0,0,0,0,""
2,17264,"v_mov_b32_e32 v29, v15",0,0,0,0,""
2,17268,"v_mov_b32_e32 v28, v15",0,0,0,0,""
2,17272,"v_mov_b32_e32 v27, v15",0,0,0,0,""
2,17276,"v_mov_b32_e32 v26, v15",0,0,0,0,""
2,17280,"v_mov_b32_e32 v25, v15",0,0,0,0,""
2,17284,"v_mov_b32_e32 v24, v15",0,0,0,0,""
2,17288,"v_mov_b32_e32 v23, v15",0,0,0,0,""
2,17292,"v_mov_b32_e32 v22, v15",0,0,0,0,""
2,17296,"v_mov_b32_e32 v21, v15",0,0,0,0,""
2,17300,"v_mov_b32_e32 v20, v15",0,0,0,0,""
2,17304,"v_mov_b32_e32 v19, v15",0,0,0,0,""
2,17308,"v_mov_b32_e32 v18, v15",0,0,0,0,""
2,17312,"v_mov_b32_e32 v17, v15",0,0,0,0,""
2,17316,"v_mov_b32_e32 v16, v15",0,0,0,0,""
2,17320,"v_mov_b32_e32 v47, v15",0,0,0,0,""
