"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,17920,"; _Z52batched_matrix_multiplication_matrix_core_128x128x16ILj128ELj128ELj16EEvjjjjPKDF16bS1_PDF16b4dim3S3_S3_i",0,0,0,0,"void batched_matrix_multiplication_matrix_core_128x128x16<128u, 128u, 16u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3, int)"
2,17920,"s_load_dwordx8 s[8:15], s[0:1], 0x28",4,16,0,3668,""
2,17928,"s_load_dwordx4 s[16:19], s[0:1], 0x10",4,16,0,0,""
2,17936,"s_lshl_b32 s5, s2, 7",4,16,0,0,""
2,17940,"s_lshl_b32 s26, s3, 7",4,16,0,0,""
2,17944,"s_mov_b32 s21, 0",4,20,0,0,""
2,17948,"s_waitcnt lgkmcnt(0)",4,884,884,0,""
2,17952,"s_mul_i32 s3, s11, s4",4,16,0,0,""
2,17956,"s_mul_i32 s2, s13, s5",4,16,0,0,""
2,17960,"s_add_i32 s20, s2, s3",4,16,0,0,""
2,17964,"s_lshl_b64 s[24:25], s[20:21], 1",4,16,0,0,""
2,17968,"v_lshrrev_b32_e32 v36, 7, v0",4,16,0,0,""
2,17972,"v_and_b32_e32 v2, 63, v0",4,16,0,0,""
2,17976,"s_mul_i32 s6, s8, s4",4,16,0,0,""
2,17980,"s_add_u32 s2, s18, s24",4,16,0,0,""
2,17984,"s_mul_i32 s7, s9, s26",4,16,0,0,""
2,17988,"v_bfe_u32 v1, v0, 6, 1",4,16,0,0,""
2,17996,"s_addc_u32 s3, s19, s25",4,16,0,0,""
2,18000,"v_lshl_or_b32 v37, v36, 6, v2",4,16,0,0,""
2,18008,"s_add_i32 s20, s7, s6",4,16,0,0,""
2,18012,"v_lshlrev_b32_e32 v38, 3, v1",4,16,0,0,""
2,18016,"s_lshl_b64 s[22:23], s[20:21], 1",4,16,0,0,""
2,18020,"v_mul_lo_u32 v2, s9, v37",4,16,0,0,""
2,18028,"s_add_u32 s6, s16, s22",4,16,0,0,""
2,18032,"v_mad_u64_u32 v[16:17], s[8:9], s10, v38, v[2:3]",4,16,0,0,""
2,18040,"v_lshlrev_b32_e32 v40, 3, v36",4,16,0,0,""
2,18044,"s_addc_u32 s7, s17, s23",4,16,0,48,""
2,18048,"v_and_b32_e32 v39, 0x7f, v0",4,16,0,0,""
2,18056,"v_mul_lo_u32 v2, s12, v40",4,16,0,0,""
