"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,11264,"; _Z59batched_matrix_multiplication_matrix_core_128x128x16_transeILj128ELj128ELj16EEvjjjjPKDF16bS1_PDF16b4dim3S3_S3_i",0,0,0,0,"void batched_matrix_multiplication_matrix_core_128x128x16_transe<128u, 128u, 16u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3, int)"
2,11264,"s_load_dwordx4 s[16:19], s[0:1], 0x10",4,16,0,3116,""
2,11272,"s_load_dwordx8 s[8:15], s[0:1], 0x28",4,16,0,0,""
2,11280,"s_lshl_b32 s5, s3, 7",4,16,0,0,""
2,11284,"s_mov_b32 s7, 0",4,16,0,0,""
2,11288,"v_lshrrev_b32_e32 v16, 7, v0",4,16,0,0,""
2,11292,"v_and_b32_e32 v2, 63, v0",4,20,0,0,""
2,11296,"s_waitcnt lgkmcnt(0)",4,2344,2344,0,""
2,11300,"s_mul_i32 s3, s8, s4",4,16,0,0,""
2,11304,"s_mul_i32 s6, s9, s5",4,16,0,0,""
2,11308,"s_add_i32 s6, s6, s3",4,16,0,0,""
2,11312,"s_lshl_b64 s[20:21], s[6:7], 1",4,16,0,0,""
2,11316,"s_add_u32 s24, s16, s20",4,16,0,0,""
2,11320,"s_addc_u32 s25, s17, s21",4,16,0,0,""
2,11324,"s_mul_i32 s3, s11, s4",4,16,0,0,""
2,11328,"s_lshl_b32 s11, s2, 7",4,16,0,0,""
2,11332,"v_bfe_u32 v1, v0, 6, 1",4,16,0,0,""
2,11340,"s_mul_i32 s2, s13, s11",4,16,0,0,""
2,11344,"v_lshl_or_b32 v17, v16, 6, v2",4,16,0,0,""
2,11352,"s_add_i32 s6, s2, s3",4,16,0,0,""
2,11356,"v_mul_lo_u32 v2, s9, v17",4,16,0,0,""
2,11364,"v_lshlrev_b32_e32 v18, 3, v1",4,16,0,0,""
2,11368,"v_lshlrev_b32_e32 v20, 3, v16",4,16,0,0,""
2,11372,"s_lshl_b64 s[22:23], s[6:7], 1",4,16,0,0,""
2,11376,"v_mad_u64_u32 v[2:3], s[8:9], s10, v18, v[2:3]",4,16,0,0,""
2,11384,"v_and_b32_e32 v19, 0x7f, v0",4,16,0,0,""
2,11392,"v_mul_lo_u32 v4, s12, v20",4,16,0,0,""
2,11400,"s_add_u32 s2, s18, s22",4,16,0,32,""
2,11404,"v_mad_u64_u32 v[4:5], s[8:9], s13, v19, v[4:5]",4,16,0,0,""
2,11412,"v_mov_b32_e32 v3, 0",4,16,0,0,""
2,11416,"s_addc_u32 s3, s19, s23",4,16,0,48,""
2,11420,"v_lshl_add_u64 v[6:7], v[2:3], 1, s[24:25]",4,16,0,0,""
2,11428,"v_mov_b32_e32 v5, v3",4,16,0,0,""
2,11432,"global_load_dwordx4 v[8:11], v[6:7], off",4,24,8,32,""
2,11440,"v_lshl_add_u64 v[6:7], v[4:5], 1, s[2:3]",4,20,0,0,""
2,11448,"global_load_dwordx4 v[12:15], v[6:7], off",4,24,8,28,""
2,11456,"s_load_dwordx2 s[2:3], s[0:1], 0x4",4,16,0,0,""
2,11464,"s_load_dwordx2 s[8:9], s[0:1], 0x20",4,16,0,0,""
2,11472,"s_load_dword s10, s[0:1], 0x48",4,16,0,0,""
2,11480,"v_and_b32_e32 v22, 31, v0",4,16,0,0,""
2,11484,"v_lshrrev_b32_e32 v0, 3, v0",4,16,0,0,""
2,11488,"v_lshlrev_b32_e32 v33, 5, v16",4,16,0,0,""
2,11492,"v_and_b32_e32 v34, 4, v0",4,16,0,0,""
2,11496,"v_lshl_or_b32 v32, v1, 5, v22",4,16,0,0,""
2,11504,"v_mad_u32_u24 v6, v17, 20, v18",4,16,0,0,""
2,11512,"v_or_b32_e32 v0, v33, v22",4,16,0,0,""
2,11516,"v_mov_b32_e32 v21, 0x2800",4,16,0,0,""
2,11524,"v_mad_u32_u24 v7, v19, 20, v20",4,16,0,0,""
2,11532,"v_mad_u32_u24 v35, v32, 20, v34",4,16,0,0,""
2,11540,"v_mad_u32_u24 v36, v0, 20, v34",4,16,0,0,""
2,11548,"v_lshlrev_b32_e32 v0, 1, v6",4,16,0,0,""
2,11552,"s_waitcnt lgkmcnt(0)",4,16,16,0,""
2,11556,"s_cmp_lt_u32 s3, 17",4,16,0,0,""
2,11560,"v_lshl_add_u32 v1, v7, 1, v21",4,16,0,0,""
2,11568,"s_waitcnt vmcnt(1)",4,9208,9208,0,""
2,11572,"ds_write2_b64 v0, v[8:9], v[10:11] offset1:1",4,80,0,0,""
2,11580,"s_waitcnt vmcnt(0)",4,10260,10260,0,""
2,11584,"ds_write2_b64 v1, v[12:13], v[14:15] offset1:1",4,76,0,0,""
2,11592,"s_barrier",4,416,416,4,""
2,11596,"s_cbranch_scc1 209",4,16,0,0,""
2,11600,"s_lshl_b32 s6, s12, 4",4,16,0,0,""
2,11604,"s_lshl_b64 s[0:1], s[6:7], 1",4,16,0,0,""
2,11608,"s_add_u32 s6, s0, s22",4,16,0,0,""
2,11612,"s_addc_u32 s13, s1, s23",4,16,0,0,""
2,11616,"s_add_u32 s12, s18, s6",4,16,0,12,""
