"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,15872,"; _ZN7ck_tile6kentryILi1ENS_17BatchedGemmKernelINS_33GemmSpatiallyLocalTilePartitionerINS_13TileGemmShapeINS_8sequenceIJLi256ELi256ELi64EEEENS4_IJLi2ELi2ELi1EEEENS4_IJLi32ELi32ELi16EEEELb0ELb0EEELi8ELi4EEENS_24GemmPipelineAgBgCrCompV3INS_28UniversalGemmPipelineProblemIDF16_DF16_fS8_NS_23TileGemmUniversalTraitsILb0ELb0ELb0ELb0ENS_13tensor_layout4gemm8RowMajorENSE_11ColumnMajorESF_Lb0ELb0ELb0ELi1ELb0ELi16EEELNS_21GemmPipelineSchedulerE1ENS_12element_wise11PassThroughESK_DF16_Lb0ELi1ELi1EEENS_33UniversalGemmPipelineAgBgCrPolicyEEENS_16CShuffleEpilogueINS_23CShuffleEpilogueProblemIDF16_DF16_NS_5tupleIJEEEfDF16_SR_SF_SK_Li256ELi256ELi2ELi2ELi32ELi32ELi16ELb0ELNS_21memory_operation_enumE0ELi1ELb0ELi1ELb0ELi1ELb0EEEvEEEEJNSV_21BatchedGemmKernelArgsEEEEvDpT1_",0,0,0,0,"void ck_tile::kentry<1, ck_tile::BatchedGemmKernel<ck_tile::GemmSpatiallyLocalTilePartitioner<ck_tile::TileGemmShape<ck_tile::sequence<256, 256, 64>, ck_tile::sequence<2, 2, 1>, ck_tile::sequence<32, 32, 16>, false, false>, 8, 4>, ck_tile::GemmPipelineAgBgCrCompV3<ck_tile::UniversalGemmPipelineProblem<_Float16, _Float16, float, ck_tile::TileGemmShape<ck_tile::sequence<256, 256, 64>, ck_tile::sequence<2, 2, 1>, ck_tile::sequence<32, 32, 16>, false, false>, ck_tile::TileGemmUniversalTraits<false, false, false, false, ck_tile::tensor_layout::gemm::RowMajor, ck_tile::tensor_layout::gemm::ColumnMajor, ck_tile::tensor_layout::gemm::RowMajor, false, false, false, 1, false, 16>, (ck_tile::GemmPipelineScheduler)1, ck_tile::element_wise::PassThrough, ck_tile::element_wise::PassThrough, _Float16, false, 1, 1>, ck_tile::UniversalGemmPipelineAgBgCrPolicy>, ck_tile::CShuffleEpilogue<ck_tile::CShuffleEpilogueProblem<_Float16, _Float16, ck_tile::tuple<>, float, _Float16, ck_tile::tuple<>, ck_tile::tensor_layout::gemm::RowMajor, ck_tile::element_wise::PassThrough, 256, 256, 2, 2, 32, 32, 16, false, (ck_tile::memory_operation_enum)0, 1, false, 1, false, 1, false>, void> >, ck_tile::BatchedGemmKernel<ck_tile::GemmSpatiallyLocalTilePartitioner<ck_tile::TileGemmShape<ck_tile::sequence<256, 256, 64>, ck_tile::sequence<2, 2, 1>, ck_tile::sequence<32, 32, 16>, false, false>, 8, 4>, ck_tile::GemmPipelineAgBgCrCompV3<ck_tile::UniversalGemmPipelineProblem<_Float16, _Float16, float, ck_tile::TileGemmShape<ck_tile::sequence<256, 256, 64>, ck_tile::sequence<2, 2, 1>, ck_tile::sequence<32, 32, 16>, false, false>, ck_tile::TileGemmUniversalTraits<false, false, false, false, ck_tile::tensor_layout::gemm::RowMajor, ck_tile::tensor_layout::gemm::ColumnMajor, ck_tile::tensor_layout::gemm::RowMajor, false, false, false, 1, false, 16>, (ck_tile::GemmPipelineScheduler)1, ck_tile::element_wise::PassThrough, ck_tile::element_wise::PassThrough, _Float16, false, 1, 1>, ck_tile::UniversalGemmPipelineAgBgCrPolicy>, ck_tile::CShuffleEpilogue<ck_tile::CShuffleEpilogueProblem<_Float16, _Float16, ck_tile::tuple<>, float, _Float16, ck_tile::tuple<>, ck_tile::tensor_layout::gemm::RowMajor, ck_tile::element_wise::PassThrough, 256, 256, 2, 2, 32, 32, 16, false, (ck_tile::memory_operation_enum)0, 1, false, 1, false, 1, false>, void> >::BatchedGemmKernelArgs>(ck_tile::BatchedGemmKernel<ck_tile::GemmSpatiallyLocalTilePartitioner<ck_tile::TileGemmShape<ck_tile::sequence<256, 256, 64>, ck_tile::sequence<2, 2, 1>, ck_tile::sequence<32, 32, 16>, false, false>, 8, 4>, ck_tile::GemmPipelineAgBgCrCompV3<ck_tile::UniversalGemmPipelineProblem<_Float16, _Float16, float, ck_tile::TileGemmShape<ck_tile::sequence<256, 256, 64>, ck_tile::sequence<2, 2, 1>, ck_tile::sequence<32, 32, 16>, false, false>, ck_tile::TileGemmUniversalTraits<false, false, false, false, ck_tile::tensor_layout::gemm::RowMajor, ck_tile::tensor_layout::gemm::ColumnMajor, ck_tile::tensor_layout::gemm::RowMajor, false, false, false, 1, false, 16>, (ck_tile::GemmPipelineScheduler)1, ck_tile::element_wise::PassThrough, ck_tile::element_wise::PassThrough, _Float16, false, 1, 1>, ck_tile::UniversalGemmPipelineAgBgCrPolicy>, ck_tile::CShuffleEpilogue<ck_tile::CShuffleEpilogueProblem<_Float16, _Float16, ck_tile::tuple<>, float, _Float16, ck_tile::tuple<>, ck_tile::tensor_layout::gemm::RowMajor, ck_tile::element_wise::PassThrough, 256, 256, 2, 2, 32, 32, 16, false, (ck_tile::memory_operation_enum)0, 1, false, 1, false, 1, false>, void> >::BatchedGemmKernelArgs)"
2,15872,"s_load_dwordx4 s[12:15], s[0:1], 0x20",4,16,0,2508,""
2,15880,"s_load_dword s22, s[0:1], 0x30",4,16,0,0,""
2,15888,"s_load_dwordx4 s[8:11], s[0:1], 0x38",4,16,0,0,""
2,15896,"s_load_dword s23, s[0:1], 0x48",4,20,0,0,""
2,15904,"s_waitcnt lgkmcnt(0)",4,2012,2012,0,""
2,15908,"s_add_i32 s24, s12, -1",4,16,0,0,""
2,15912,"s_cmpk_lt_u32 s24, 0x100",4,16,0,0,""
2,15916,"s_mov_b32 s5, 0",4,20,0,0,""
2,15920,"s_cbranch_scc1 118",4,20,0,12,""
