"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,9728,"; _Z49batched_matrix_multiplication_matrix_core_64x64x4ILj64ELj64ELj8EEvjjjjPKDF16bS1_PDF16b4dim3S3_S3_i",0,0,0,0,"void batched_matrix_multiplication_matrix_core_64x64x4<64u, 64u, 8u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3, int)"
2,9728,"s_load_dwordx2 s[6:7], s[0:1], 0x4",28,1804,1688,6276,""
2,9736,"s_load_dwordx4 s[12:15], s[0:1], 0x10",28,116,4,0,""
2,9744,"s_load_dwordx2 s[16:17], s[0:1], 0x20",28,912,800,0,""
2,9752,"s_load_dwordx4 s[8:11], s[0:1], 0x40",28,508,388,0,""
2,9760,"v_and_b32_e32 v19, 31, v0",28,400,272,32,""
2,9764,"s_waitcnt lgkmcnt(0)",28,4580,4580,0,""
2,9768,"s_lshl_b32 s11, s3, 6",28,352,240,0,""
2,9772,"s_lshl_b32 s5, s2, 6",28,416,304,0,""
2,9776,"v_lshrrev_b32_e32 v1, 2, v0",28,556,444,0,""
2,9780,"v_lshrrev_b32_e32 v2, 3, v0",28,144,32,0,""
2,9784,"v_lshrrev_b32_e32 v0, 1, v0",28,172,60,0,""
2,9788,"v_and_b32_e32 v1, 32, v1",28,152,40,0,""
2,9792,"v_and_b32_e32 v18, 4, v2",28,216,104,0,""
2,9796,"v_and_or_b32 v0, v0, 32, v19",28,932,820,0,""
2,9804,"s_cmp_eq_u32 s7, 0",28,620,508,0,""
2,9808,"s_mov_b32 s3, 0",28,196,84,0,""
2,9812,"s_cbranch_scc1 178",28,112,0,112,""
2,9816,"s_load_dwordx4 s[20:23], s[0:1], 0x28",28,472,360,0,""
2,9824,"s_load_dwordx2 s[18:19], s[0:1], 0x38",28,528,416,312,""
2,9832,"v_or_b32_e32 v3, 1, v18",28,300,188,0,""
2,9836,"v_mov_b32_e32 v13, 0",28,236,124,0,""
2,9840,"s_mov_b32 s25, s3",28,200,88,0,""
2,9844,"s_waitcnt lgkmcnt(0)",28,568,568,0,""
2,9848,"s_mul_i32 s1, s20, s4",28,388,276,0,""
2,9852,"s_mul_i32 s2, s21, s11",28,148,36,0,""
2,9856,"s_mul_i32 s0, s23, s4",28,124,12,0,""
2,9860,"s_add_i32 s2, s2, s1",28,112,0,0,""
2,9864,"s_mul_i32 s1, s19, s5",28,124,12,0,""
2,9868,"s_add_i32 s0, s1, s0",28,124,12,0,""
2,9872,"s_mov_b32 s1, s3",28,140,28,0,""
2,9876,"s_lshl_b64 s[0:1], s[0:1], 1",28,132,20,0,""
2,9880,"s_add_u32 s0, s14, s0",28,128,16,0,""
2,9884,"v_mul_lo_u32 v2, s19, v0",28,472,356,0,""
2,9892,"s_addc_u32 s1, s15, s1",28,156,40,0,""
2,9896,"v_mad_u64_u32 v[14:15], s[14:15], s18, v3, v[2:3]",28,460,344,0,""
2,9904,"v_mul_lo_u32 v4, v18, s18",28,308,196,0,""
2,9912,"s_lshl_b32 s14, s18, 1",28,156,40,232,""
2,9916,"v_add_u32_e32 v16, v2, v4",28,232,116,0,""
2,9920,"v_add3_u32 v12, v4, s14, v2",28,320,208,0,""
2,9928,"v_add_u32_e32 v2, v1, v19",28,156,44,0,""
2,9932,"v_mul_lo_u32 v2, s21, v2",28,160,48,0,""
2,9940,"s_lshl_b32 s24, s18, 3",28,116,4,0,""
2,9944,"v_add_u32_e32 v10, s18, v12",28,212,96,0,""
2,9948,"v_mad_u64_u32 v[8:9], s[18:19], s22, v18, v[2:3]",28,148,36,0,""
2,9956,"v_mov_b32_e32 v11, v13",28,116,4,0,""
2,9960,"v_mov_b32_e32 v17, v13",28,148,36,0,""
2,9964,"v_mov_b32_e32 v15, v13",28,124,12,0,""
2,9968,"v_add_u32_e32 v2, 3, v8",28,148,36,0,""
2,9972,"v_mov_b32_e32 v3, v13",28,144,32,0,""
2,9976,"v_add_u32_e32 v4, 2, v8",28,112,0,0,""
2,9980,"v_mov_b32_e32 v5, v13",28,124,12,0,""
2,9984,"v_add_u32_e32 v6, 1, v8",28,112,0,0,""
2,9988,"v_mov_b32_e32 v7, v13",28,112,0,0,""
2,9992,"v_mov_b32_e32 v9, v13",28,112,0,0,""
2,9996,"s_lshl_b64 s[14:15], s[2:3], 1",28,136,24,0,""
2,10000,"v_lshl_add_u64 v[2:3], v[2:3], 1, s[12:13]",28,228,116,0,""
2,10008,"v_lshl_add_u64 v[4:5], v[4:5], 1, s[12:13]",28,208,96,0,""
2,10016,"v_lshl_add_u64 v[6:7], v[6:7], 1, s[12:13]",28,144,32,0,""
2,10024,"v_lshl_add_u64 v[8:9], v[8:9], 1, s[12:13]",28,144,32,0,""
2,10032,"v_lshlrev_b64 v[10:11], 1, v[10:11]",28,116,0,0,""
2,10040,"s_lshl_b64 s[12:13], s[24:25], 1",28,140,24,0,""
2,10044,"v_lshlrev_b64 v[12:13], 1, v[12:13]",28,124,12,24,""
2,10052,"v_lshlrev_b64 v[14:15], 1, v[14:15]",28,112,0,0,""
2,10060,"v_lshlrev_b64 v[16:17], 1, v[16:17]",28,112,0,0,""
2,10068,"v_accvgpr_write_b32 a15, 0",28,116,0,0,""
2,10076,"v_accvgpr_write_b32 a14, 0",28,112,0,124,""
2,10084,"v_accvgpr_write_b32 a13, 0",28,112,0,0,""
2,10092,"v_accvgpr_write_b32 a12, 0",28,112,0,0,""
2,10100,"v_accvgpr_write_b32 a11, 0",28,112,0,0,""
2,10108,"v_accvgpr_write_b32 a10, 0",28,112,0,128,""
2,10116,"v_accvgpr_write_b32 a9, 0",28,112,0,0,""
2,10124,"v_accvgpr_write_b32 a8, 0",28,112,0,0,""
2,10132,"v_accvgpr_write_b32 a7, 0",28,116,0,0,""
2,10140,"v_accvgpr_write_b32 a6, 0",28,112,0,116,""
2,10148,"v_accvgpr_write_b32 a5, 0",28,112,0,0,""
2,10156,"v_accvgpr_write_b32 a4, 0",28,112,0,0,""
2,10164,"v_accvgpr_write_b32 a3, 0",28,116,0,0,""
2,10172,"v_accvgpr_write_b32 a2, 0",28,112,0,108,""
2,10180,"v_accvgpr_write_b32 a1, 0",28,112,0,0,""
2,10188,"v_accvgpr_write_b32 a0, 0",28,112,0,0,""
2,10196,"s_mov_b32 s2, 0x5040100",28,112,0,0,""
2,10204,"v_lshl_add_u64 v[28:29], v[8:9], 0, s[14:15]",448,2012,204,13540,""
2,10212,"v_lshl_add_u64 v[30:31], s[0:1], 0, v[16:17]",448,1980,176,0,""
2,10220,"v_lshl_add_u64 v[32:33], v[6:7], 0, s[14:15]",448,1904,112,0,""
2,10228,"v_lshl_add_u64 v[34:35], s[0:1], 0, v[14:15]",448,1908,116,0,""
2,10236,"v_lshl_add_u64 v[36:37], v[4:5], 0, s[14:15]",448,1848,56,1612,""
2,10244,"v_lshl_add_u64 v[38:39], s[0:1], 0, v[12:13]",448,1876,84,0,""
2,10252,"v_lshl_add_u64 v[40:41], v[2:3], 0, s[14:15]",448,1844,52,0,""
2,10260,"v_lshl_add_u64 v[42:43], s[0:1], 0, v[10:11]",448,1876,84,0,""
2,10268,"global_load_ushort v21, v[28:29], off",448,1612380,1610228,3584,""
2,10276,"global_load_ushort v24, v[36:37], off",448,54340,52204,0,""
2,10284,"global_load_ushort v27, v[40:41], off",448,58372,56256,0,""
2,10292,"global_load_ushort v26, v[32:33], off",448,33504,31276,0,""
2,10300,"global_load_ushort v20, v[30:31], off",448,139168,137004,208,""
2,10308,"global_load_ushort v22, v[38:39], off",448,36428,34344,0,""
2,10316,"global_load_ushort v25, v[42:43], off",448,15592,13412,0,""
2,10324,"global_load_ushort v23, v[34:35], off",448,35724,33932,0,""
2,10332,"s_add_i32 s3, s3, 8",448,1792,0,0,""
2,10336,"s_add_u32 s0, s0, s12",448,1796,4,0,""
2,10340,"s_addc_u32 s1, s1, s13",448,1796,4,0,""
2,10344,"v_lshl_add_u64 v[2:3], v[2:3], 0, 16",448,1880,84,0,""
2,10352,"v_lshl_add_u64 v[4:5], v[4:5], 0, 16",448,1896,104,0,""
2,10360,"v_lshl_add_u64 v[6:7], v[6:7], 0, 16",448,1824,32,0,""
2,10368,"s_cmp_lt_u32 s3, s7",448,1792,0,0,""
2,10372,"v_lshl_add_u64 v[8:9], v[8:9], 0, 16",448,1888,92,0,""
2,10380,"s_waitcnt vmcnt(5)",448,509936,509936,0,""
2,10384,"v_perm_b32 v29, v27, v24, s2",448,1932,136,0,""
2,10392,"s_waitcnt vmcnt(4)",448,29852,29852,0,""
2,10396,"v_perm_b32 v28, v26, v21, s2",448,1868,60,0,""
2,10404,"s_waitcnt vmcnt(1)",448,46852,46852,0,""
2,10408,"v_perm_b32 v31, v25, v22, s2",448,1904,112,0,""
